pmid,geneId,diseaseId
10579720,268,D053447
10579720,109676,D001145
10579720,109676,D003645
10579720,109676,D007738
10579720,109676,D009135
10579720,109676,D009140
10579720,109676,D018908
12835313,109741,D010051
14710238,929,D011125
14710238,2315,D008545
14710238,2315,D009369
14710238,3107,D011125
15199386,672,D001943
15199386,672,D009369
15199386,675,D001943
15354209,3439,C538614
15354209,3439,D007680
15354209,3439,D064420
15354209,3558,C538614
15354209,3558,D000163
15354209,3558,D012514
15354209,3558,D064420
15354209,5054,C538614
15354209,5054,D009369
15354209,6401,D009369
15354209,7412,C538614
15354209,7412,D009369
15354209,7412,D010300
15354209,7412,D029461
15354209,7422,C538614
15354209,7422,D009369
15354209,7422,D010300
15354209,7422,D015179
15354209,7422,D029461
15354209,7422,D064420
15354209,7450,C538614
16333304,308,D001943
16333304,2113,D000077216
16333304,2113,D001943
16333304,3621,D001943
16333304,118471,D001943
16781449,3439,D001102
16781449,3458,D001102
16781449,4843,C563177
16781449,4843,D000257
16781449,4843,D000402
16781449,4843,D001102
16781449,4843,D003643
16781449,4843,D007239
16781449,4843,D007249
16781449,4843,D018496
16781449,5610,D001102
16781449,6772,D001102
16781449,6772,D007239
16781449,6772,D008171
16963499,29102,D004062
16963499,54487,D004062
16963499,54487,D008607
16963499,723905,D008223
17362624,23082,C564874
17630217,760,D000275
17630217,760,D000309
17630217,5566,D000275
17630217,124454,D000275
18398271,1392,D018268
18398271,2908,D003480
18398271,2908,D004342
18398271,5443,C565433
18398271,5443,D000236
18398271,5443,D000309
18398271,5443,D001284
18398271,5443,D003480
18398271,5443,D007238
18398271,5443,D018268
18752632,7046,D001943
18752632,10859,D005909
18752632,23405,D000077192
18752632,23405,D000230
18752632,23405,D002289
18752632,23405,D008175
18752632,23405,D009369
18752632,23405,D011125
18752632,23405,D011471
18752632,23405,D011472
18752632,23405,D012640
18752632,23405,D015179
18752632,23405,D018277
18752632,23405,D019048
18752632,406947,D009369
18752632,406948,D007945
18752632,406950,D007945
18752632,406991,D009369
18752632,407035,D009369
18836991,2034,D006130
18836991,2034,D006623
18836991,2034,D008637
18836991,2034,D009369
18836991,3091,D006130
18836991,3091,D006623
18836991,3091,D008637
18836991,3091,D009369
18836991,7422,D004487
18836991,7422,D006623
18836991,7422,D018325
18836991,57534,C565785
18836991,57534,D001929
18836991,57534,D009369
18836991,57534,D012509
18836991,57534,D055752
19059699,207,C536227
19059699,4352,C535982
19059699,4352,C536227
19059699,4352,D000740
19059699,4352,D007938
19059699,4352,D011696
19059699,4352,D013921
19059699,4352,D013922
19059699,4352,D019337
19059699,5594,D013921
19059699,7066,C535982
19059699,7066,D013921
19113831,354,D011471
19133133,71,D012769
19133133,2023,D012769
19133133,2316,D012769
19133133,3303,D012769
19133133,5106,D012769
19133133,81502,D002418
19133133,81502,D012757
19133133,5656921,D012769
19168076,3429,D009369
19168076,3429,D012175
19168076,4879,D008545
19168076,7474,D008545
19168076,7474,D009369
19181290,2572,D000275
19181290,2572,D001008
19181290,260431,D000437
19181290,260431,D003324
19181290,260431,D003920
19181290,260431,D011014
19181290,260431,D016491
19181290,260431,D020521
19191756,1588,D001943
19191756,1588,D007006
19191756,2099,C537436
19191756,2099,D001943
19191756,2099,D007006
19191756,2796,D001943
19191756,2796,D006620
19191756,2796,D007006
19191756,2796,D007029
19191756,2796,D011471
19191756,2796,D050723
19191756,2796,D056828
19191756,3164,D001943
19191756,6240,D006620
19191756,6240,D011471
19191756,6240,D050723
19367282,317,D008545
19367282,596,D008545
19367282,4255,D001855
19367282,4255,D005909
19367282,4255,D008545
19367282,4255,D009362
19367282,4255,D009369
19367282,4255,D064420
19460904,142,D002386
19460904,142,D003920
19460904,2308,D003920
19460904,2335,D003920
19460904,3630,D003920
19460904,3630,D006946
19460904,3630,D007003
19460904,3630,D007333
19460904,3630,D009203
19460904,3630,D009422
19460904,3630,D012164
19460904,3630,D015430
19460904,3630,D050197
19460904,4982,D000690
19460904,4982,D009422
19460904,5176,D003920
19460904,6863,D003920
19460904,7124,D003920
19702309,1950,D002289
19813621,581,D009369
19813621,596,D009369
19818716,330,D001943
19818716,3551,C563003
19818716,3551,C564433
19818716,3551,D001943
19818716,3551,D006528
19818716,3551,D007249
19818716,3551,D009369
19818716,3551,D042822
19818716,3576,D001943
19818716,3576,D009369
19818716,4193,D009369
19818716,4780,C563003
19818716,4780,D005706
19818716,4780,D008175
19818716,4780,D009369
19818716,4790,D001943
19818716,4790,D006528
19818716,4790,D007249
19818716,4790,D009369
19818716,4790,D009422
19818716,5328,D001943
19818716,5970,D009369
19818716,6347,D001943
19818716,6502,D009369
19818716,7124,C563003
19818716,7124,D009369
19818716,8139,D009369
19818716,8452,C563003
19818716,8452,D001943
19818716,8452,D004938
19818716,8452,D006528
19818716,8452,D007249
19818716,8452,D008175
19818716,8452,D009369
19818716,8452,D009422
19818716,8452,D042822
19818716,9817,C563003
19818716,9817,C564433
19818716,9817,D001943
19818716,9817,D004938
19818716,9817,D005706
19818716,9817,D006528
19818716,9817,D007249
19818716,9817,D008175
19818716,9817,D009369
19818716,9817,D009422
19818716,9817,D042822
19818716,9978,C563003
19818716,9978,D001943
19818716,9978,D006528
19818716,9978,D007249
19818716,9978,D008175
19818716,9978,D009369
19818716,9978,D009422
19818716,9978,D042822
19818716,64750,D009369
19818716,339451,D009369
19830172,3479,D006130
19881035,241,D014456
20058253,207,D002609
20058253,1056,D006937
20058253,1056,D009369
20058253,1056,D010300
20058253,1956,D002972
20058253,1956,D008175
20058253,1956,D009369
20058253,2064,D001943
20058253,2064,D002609
20058253,2064,D002972
20058253,2064,D009369
20058253,2065,D009369
20058253,7294,D006937
20058253,7294,D009369
20058253,7294,D010300
20080335,354,D009765
20080335,672,D001943
20080335,1351,D001941
20080335,1351,D008413
20080335,1351,D012871
20080335,1351,D014376
20080335,3952,D009369
20139964,760,D019636
20139964,776,D010300
20139964,778,D001766
20139964,801,D000544
20139964,801,D006333
20139964,2596,D012559
20139964,6622,D010300
20161399,5901,D008607
20541258,946,D011225
20541258,946,D017359
20541258,970,D017359
20541258,1082,D011225
20541258,1082,D017359
20541258,2321,D011225
20541258,2321,D017359
20541258,2690,D017359
20541258,3479,D017359
20541258,3623,D011225
20541258,3623,D017359
20541258,3952,D011225
20541258,3952,D017359
20541258,3972,D011225
20541258,3972,D017359
20541258,4257,D017359
20541258,5008,D017359
20541258,6369,D017359
20541258,9180,D017359
20541258,50649,D017359
20541258,54210,D011225
20541258,54210,D017359
20541258,60676,D011225
20541258,60676,D017359
20541258,386653,D017359
20629634,4155,D020279
20633576,19,D013631
20633576,19,D030342
20633576,21,C535342
20633576,21,D017563
20633576,21,D030342
20633576,24,C538365
20633576,24,D000080362
20633576,24,D006009
20633576,24,D008268
20633576,24,D009136
20633576,24,D012164
20633576,24,D030342
20633576,24,D049310
20633576,215,C537345
20633576,215,D000326
20633576,215,D003550
20633576,215,D008107
20633576,1080,C537345
20633576,1080,D000326
20633576,1080,D003550
20633576,1080,D008107
20633576,1769,D000080362
20633576,1769,D009136
20633576,6785,C535805
20633576,6785,D000013
20633576,6785,D000080362
20633576,6785,D008268
20633576,6785,D012162
20633576,6785,D018981
20633576,6785,D058495
20633576,8647,C537345
20633576,8647,D000326
20633576,8647,D003550
20633576,8647,D008107
20633576,8842,D000080362
20633576,9429,D000080362
20633576,9429,D012164
20633576,9429,D049310
20633576,9735,C538365
20633576,9735,D000071700
20633576,9735,D000080362
20633576,9735,D001766
20633576,9735,D003117
20633576,9735,D009136
20633576,9735,D012164
20633576,10058,D030342
20633576,11319,D049310
20633576,13130,D000080362
20633576,13130,D003117
20633576,26154,D016113
20633576,26154,D030342
20633576,29107,D018981
20633576,64240,C537345
20633576,64240,D000326
20633576,64240,D003550
20633576,64240,D008107
20633576,107460,D000080362
20633576,107460,D009410
20671726,57026,C562440
20671726,57026,D007153
20671726,57026,D030342
20677291,619501,D020246
20806040,2195,D012162
20806040,6010,C538365
20806040,6010,D012162
20806040,6785,D012162
20890968,42356,C557675
21147502,1956,D009369
21147502,2064,D009369
21147502,2064,D010051
21147502,2064,D011472
21147502,2064,D013274
21147502,5175,D009369
21147502,56925,D009369
21281461,611,D001943
21281461,137872,D000072861
21281461,137872,D001943
21281461,137872,D019958
21318045,185,D020191
21318045,472,D009369
21318045,596,D020191
21318045,604,D020191
21318045,639,D020191
21318045,694,D020191
21318045,699,D006323
21318045,920,D020191
21318045,943,D009369
21318045,943,D020191
21318045,947,D008223
21318045,947,D016393
21318045,947,D064420
21318045,958,D020191
21318045,961,D020191
21318045,983,D006323
21318045,1017,D006323
21318045,1021,D009369
21318045,1111,D006323
21318045,1147,D006689
21318045,1347,D006323
21318045,1364,D009369
21318045,1378,D020191
21318045,1559,D006689
21318045,1633,D006323
21318045,1649,D009369
21318045,2152,D020191
21318045,2297,D020191
21318045,2526,D006689
21318045,2526,D008228
21318045,2526,D016411
21318045,3125,D020191
21318045,3305,D006323
21318045,3315,D009369
21318045,3586,D006689
21318045,3586,D008223
21318045,3586,D020191
21318045,3587,D006689
21318045,3587,D008223
21318045,3717,D009369
21318045,3910,D020191
21318045,3912,D020191
21318045,4056,D006689
21318045,4085,D006323
21318045,4090,D020191
21318045,4311,D008223
21318045,4363,D020191
21318045,4363,D064420
21318045,4513,D006689
21318045,4609,D009369
21318045,4613,D006323
21318045,4790,D006689
21318045,4790,D020191
21318045,5090,D020191
21318045,5111,D009369
21318045,5243,D020191
21318045,5294,D008223
21318045,5567,D006323
21318045,5594,D006323
21318045,5594,D009369
21318045,5728,D008223
21318045,5728,D020191
21318045,5743,D006689
21318045,6772,D009369
21318045,6775,D020191
21318045,6776,D020191
21318045,6777,D020191
21318045,6790,D006323
21318045,6869,D020191
21318045,6935,D020191
21318045,7048,D020191
21318045,7079,D020191
21318045,7421,D020191
21318045,8651,D020191
21318045,8763,D020191
21318045,9306,D020191
21318045,9429,D020191
21318045,9641,D020191
21318045,9655,D020191
21318045,9734,D020191
21318045,9839,D020191
21318045,10135,D020191
21318045,10327,D010146
21318045,10344,D020191
21318045,10418,D020191
21318045,11235,D006323
21318045,51573,D020191
21318045,53335,D020191
21318045,53947,D020191
21318045,54205,D006323
21318045,54474,D004194
21318045,54474,D008223
21318045,54474,D020191
21318045,54556,D009369
21318045,54578,D006689
21318045,64919,D020191
21318045,80777,D008223
21318045,80777,D016393
21318045,80777,D020191
21318045,80777,D064420
21318045,83416,D020191
21318045,84552,D009369
21318045,91851,D006689
21318045,91851,D008223
21318045,91851,D009369
21318045,91851,D016393
21318045,91851,D020191
21318045,91851,D020518
21318045,91851,D064420
21318045,114614,D008223
21318045,406947,D008223
21318045,406947,D020191
21318045,406982,D020191
21318045,406983,D020191
21318045,406991,D020191
21318045,574467,D020191
21318045,693199,D020191
21352476,445,D000544
21352476,445,D009410
21352476,836,D009410
21352476,871,D009410
21352476,890,D009410
21352476,891,D006323
21352476,891,D009410
21352476,900,D006323
21352476,905,D009410
21352476,991,D009410
21352476,996,D009410
21352476,1026,D006323
21352476,1030,D006323
21352476,1647,D006323
21352476,2353,D009410
21352476,2354,D009410
21352476,2876,D009410
21352476,2936,D009410
21352476,2936,D010300
21352476,3162,D009410
21352476,3313,D009410
21352476,3725,D009410
21352476,3726,D009410
21352476,4842,D001930
21352476,4843,D001930
21352476,4843,D007511
21352476,4843,D020521
21352476,5052,D009410
21352476,5074,D009336
21352476,5743,D009410
21352476,7159,D006323
21352476,7187,D009336
21352476,7188,D009336
21352476,8621,D009410
21352476,9531,D009410
21352476,9588,D009410
21352476,9695,D009410
21352476,9709,D009410
21352476,14860,D009410
21352476,17751,D009410
21352476,22060,D006323
21352476,23287,D001927
21352476,23287,D064420
21352476,26353,D009410
21352476,27306,D009410
21352476,57018,D009410
21352476,79139,D009410
21352476,79577,D009410
21352476,109408,D009410
21352476,140809,D009410
21352476,221357,D009410
21364575,672,D001943
21364575,675,D001943
21396159,2195,D007029
21396159,2195,D007249
21396159,3553,D007249
21396159,3557,D007249
21396159,3557,D009422
21396159,6513,D007249
21465621,399301,D011020
21483654,2100,D003110
21483654,2100,D015179
21483654,3845,D009369
21483654,4513,D009369
21483654,7157,D009369
21483654,23411,D015179
21679011,7052,D006223
21691575,4540,D028361
21816639,354,D009369
21816639,9028,D009369
21876700,2353,D004402
21876700,2353,D014947
21926074,4342,D052256
21957398,9463,D007239
21957398,9463,D018512
21980465,2335,D008545
21983962,59,D001157
21983962,59,D007511
21983962,3551,D007511
21983962,4015,D007511
21983962,4015,D009336
21983962,4790,D007511
21983962,54583,D000860
21983962,54583,D001157
21983962,54583,D003324
21983962,54583,D003643
21983962,54583,D007238
21983962,54583,D007511
21983962,54583,D009336
21985690,6532,D009771
22178269,975,D000860
22178269,975,OMIM:617394
22178269,999,D000860
22178269,999,D006528
22178269,999,D015658
22178269,3091,D000860
22178269,3091,D006526
22178269,3091,D006528
22178269,3091,D007239
22178269,3091,D009369
22178269,3091,D015658
22178269,6615,D000860
22178269,6615,D006528
22178269,6615,D015658
22178269,6615,D019958
22178269,6615,OMIM:617394
22178269,7040,D000860
22178269,7040,D006526
22178269,7040,D006528
22178269,7040,D009369
22178269,7040,D015658
22178269,7422,D000860
22178269,7422,D006526
22178269,7422,D006528
22178269,7422,D009369
22178269,7422,D015658
22178269,619501,D005355
22178269,619501,D006526
22178269,619501,D006528
22178269,619501,D008107
22178269,619501,D009362
22178269,619501,D009369
22178269,619501,D056486
22178269,100506658,D005234
22178269,100506658,D006509
22178269,100506658,D006526
22178269,100506658,D058625
22187572,967,D004342
22187572,3497,C564683
22187572,3497,D004342
22187572,4143,D004342
22187572,4513,C564683
22187572,4513,D001249
22237039,596,D009369
22237039,5243,D009369
22237039,5243,D064420
22237039,7157,D009369
22237039,9429,D009369
22237039,10058,D009369
22310813,920,D000163
22337246,1401,D007037
22337246,3630,D001172
22337246,3630,D006973
22337246,3630,D008659
22337246,3630,D009765
22337246,3630,D050171
22337246,4513,D000437
22337246,4513,D001172
22337246,4513,D003920
22337246,4513,D006973
22337246,4513,D007037
22337246,4513,D007592
22337246,4513,D050171
22373102,4982,D050197
22373102,9370,D003920
22373102,9370,D050197
22421041,94,D000014
22421041,94,D000783
22421041,94,D001165
22421041,94,D006470
22421041,94,D007153
22421041,94,D009369
22421041,94,D013683
22421041,2022,D013683
22421041,2658,D012173
22421041,4089,C537702
22421041,7040,D013683
22421041,7422,D000783
22421041,7422,D009369
22421041,23462,D009373
22421041,23462,D018376
22421041,23493,D009373
22421041,23493,D018376
22429809,100128998,D002544
22429809,100128998,D007238
22429809,100128998,D007511
22429809,100128998,D020521
22518954,1909,D002277
22518954,1909,D009369
22518954,1909,D018226
22518954,1909,D053560
22547706,834,D007153
22547706,834,D007877
22547706,834,D011552
22547706,2921,D001424
22547706,2921,D007249
22547706,2921,D018366
22547706,3458,D020178
22547706,3553,D001168
22547706,3553,D001170
22547706,3553,D001424
22547706,3553,D007153
22547706,3553,D007249
22547706,3553,D012871
22547706,3553,D018366
22547706,3553,D020178
22547706,3553,D034721
22547706,3554,D007249
22547706,3569,D007249
22547706,3605,D001424
22547706,3605,D007589
22547706,3605,D020178
