pmid,geneId,diseaseId
29207974,2645,D003920
29207974,7466,D003920
29207974,6927,D003920
29563864,6622,D064420
29207974,6833,D003920
16781449,4843,D007239
32226348,51561,D011565
32226348,3605,D011565
29968748,5245,D000860
29968748,5245,D008569
29968748,5245,D001008
29968748,5245,D012640
26338969,406958,D008175
26338969,406961,D008175
26338969,7779,D008175
26338969,5055,D008175
26338969,1645,D008175
24650018,54106,D005234
24650018,54106,D056486
24650018,4615,D001855
24650018,4615,C567379
24650018,3553,D008108
24650018,4615,D056486
24650018,4615,D005234
24650018,4615,D007249
24650018,15289,D056486
24650018,15289,D005234
24650018,15289,D007249
24650018,9447,D005234
24117827,3576,D009503
30242205,284904,D009765
27078154,348,D001523
27078154,348,D004194
27078154,348,D016584
27078154,348,D001289
27078154,348,D003865
27078154,348,D001714
27078154,348,D001321
27403037,6387,D005921
30282812,474256,D012512
27403037,6387,D007674
27403037,7852,D007674
27403037,6387,D011507
27403037,51499,D007674
27403037,51499,D011507
28689374,9356,D015464
19181290,2572,D001008
19181290,2572,D000275
32203104,5034,D002318
24373538,361,D009187
24373538,361,D004660
26552017,159371,D012735
30282812,5562,D014402
30282812,5562,D012512
24792912,3587,C535541
24792912,3588,C535541
24792912,5897,D007249
24792912,5897,D015431
24792912,3588,D007249
24792912,3588,D015431
24792912,920,D007249
24792912,920,D015431
24792912,3588,D003092
24792912,5897,D003092
24650275,2688,D005221
30282812,5562,D054549
30282812,29904,D054549
30282812,6240,D064420
30282812,6240,D012512
30282812,6241,D064420
30282812,6241,D012512
30282812,1111,D064420
30282812,1111,D012512
30282812,200186,D064420
30282812,200186,D012512
30282812,2475,D064420
30282812,2475,D012512
31293647,1956,D008171
31293647,3845,D008171
31293647,238,D008171
31293647,6794,D008171
31293647,5290,D008171
31293647,6098,D008171
30024510,2678,D008107
31293647,378938,D002289
31293647,378938,D008175
31293647,100124700,D002289
31293647,100124700,D008175
31293647,100316868,D002289
31293647,100316868,D008175
31293647,116986,D002289
31293647,116986,D008175
31293647,5729,D002289
31293647,5729,D008175
31293647,6932,D002289
31293647,6932,D008175
31293647,2306,D002289
31293647,2306,D008175
31293647,221883,D002289
31293647,221883,D008175
31293647,400500,D008175
28811962,4919,D009369
28811962,4919,D010190
28811962,4919,D010051
28811962,4919,D005909
27525306,3082,D008175
27525306,4233,D008175
27525306,207,D008175
27525306,2475,D008175
27525306,4233,D009369
27525306,3082,D009369
31850125,207,D000051
27525306,4233,D002289
27525306,5979,D002289
27525306,5979,D009369
27403037,718,D011507
27403037,3553,D011507
27403037,3569,D011507
27403037,90865,D011507
27403037,3605,D011507
29563864,6622,D009410
29563864,6622,D010300
29563864,6622,D019636
25940564,7276,D002357
31747387,57713,D013274
31747387,1385,D013274
31747387,100302183,D013274
27790004,4513,D005767
27790004,495,D005767
27790004,4513,D010003
27790004,495,D010003
27790004,4513,D001168
27790004,4513,D002318
27790004,495,D002318
32362813,351,D000275
29968748,5245,D009410
31890722,404677,D050197
31890722,43565,D050197
31086197,4988,D058456
31331342,7124,D001928
31890722,43565,D002318
22421041,94,D001165
22421041,94,D013683
24117827,5880,C563010
31159885,7555,D009223
31159885,1760,D009223
19191756,2796,D016301
19191756,2796,D001943
31832083,2169,D000007
29393430,79727,D015179
29393430,406885,D015179
29393430,598,D015179
31832083,2169,D012771
31293647,4102,D002289
31293647,4102,D009369
31293647,574,D008175
31293647,4102,D008175
31293647,53340,D008175
31293647,53340,D010911
31293647,8852,D008175
31293647,8852,D010911
31293647,302,D008175
31293647,3569,D008175
30884810,7015,D065646
30884810,7015,D013964
30884810,8030,D065646
30884810,8030,D013964
27403037,1230,D009393
27403037,1230,D007153
22178269,3091,D006526
22178269,6615,D006528
28883914,5016,D020964
27403037,1230,D015427
27403037,1230,D014517
27403037,1234,D015427
27403037,1234,D014517
32264889,7082,D002277
24434143,760,D007511
30365064,3985,D007247
30365064,55124,D007247
27880818,6566,D004342
27880818,4609,D004342
27880818,4790,D004342
27880818,4609,D009369
27880818,4613,D009369
27880818,4610,D009369
27880818,3099,D009369
27880818,6566,D009369
27880818,3939,D009369
27880818,7015,D009369
27880818,4610,C535298
27880818,6566,C535298
31143309,7018,D006432
22547706,58484,D011014
22547706,58484,D001996
26552017,159371,D004194
30349541,16187,C566666
30349541,1437,D001327
29849496,7124,D011658
18836991,2034,D006130
18836991,2034,D006623
18836991,3091,D006130
18836991,3091,D006623
18836991,57534,D009369
18836991,2034,D008637
18836991,3091,D008637
18836991,3091,D009369
18836991,2034,D009369
27596437,7099,D018805
27596437,7099,D007249
31143309,3077,D011086
29968748,5245,D013226
29968748,759,D013226
29968748,761,D013226
29160859,57674,D009072
28713378,3586,D003092
28713378,3934,D003092
30906313,6295,D013945
30906313,6295,D009223
30906313,5906,D013945
30906313,5906,D009223
30906313,5594,D013945
30906313,5594,D009223
24650018,834,D056486
24650018,834,C567379
24650018,834,D001855
24650018,4615,D002543
24650018,114548,D003092
24650018,114548,D005234
24650018,3553,D056486
19191756,3164,D001943
27506764,1756,D020388
32097725,3635,C000657245
23352838,43,D005198
19059699,4352,D019337
31797087,5889,D010051
31797087,83990,D010051
31797087,79728,D010051
31039423,387140,D003643
22178269,619501,D006528
22178269,619501,D009369
22178269,3091,D009369
22178269,3091,D006528
22178269,7422,D006528
22178269,7040,D006528
22178269,999,D015658
22178269,999,D006528
22178269,999,D000860
22178269,6615,D015658
22178269,6615,D000860
22178269,3091,D015658
22178269,3091,D000860
22178269,7422,D015658
22178269,7422,D000860
22178269,7040,D015658
22178269,7040,D000860
27070462,7157,D014842
27070462,7157,C567932
27070462,121340,D014842
27070462,121340,C567932
32226348,51428,D011565
10579720,109676,D003645
10579720,109676,D001145
29160859,57674,D000783
29160859,57674,D003251
21816639,354,D009369
31331342,3630,D018149
21281461,611,D001943
22988441,142,D007249
22988441,142,C537512
22988441,142,D012769
22988441,15511,C537512
22988441,15511,D012769
22988441,1080,C537512
22988441,1080,D012769
19460904,3630,D007333
22988441,1080,D007249
32281668,1401,C000657245
29160859,57674,D007511
31480304,4609,D019636
31480304,4609,D008607
31480304,4609,D009369
31480304,3815,D019636
31480304,3815,D008607
31480304,3815,D009369
31480304,3845,D019636
31480304,3845,D008607
31480304,3845,D009369
31480304,7422,D019636
31480304,7422,D008607
31480304,7422,D009369
31480304,596,D019636
31480304,596,D008607
31480304,596,D009369
31480304,4602,D019636
31480304,4602,D008607
31480304,4602,D009369
31480304,5979,D019636
31480304,5979,D008607
31480304,5979,D009369
31480304,7015,D019636
31480304,7015,D008607
31480304,7015,D009369
27034972,100861393,C536778
20633576,6785,D000080362
20633576,6785,D058495
23579757,722,D011542
28277979,23028,C537985
19059699,3674,D011535
24069431,1543,D008175
24069431,1543,D000077192
24069431,1543,D002294
24069431,1571,D000077192
24069431,1571,D002294
24069431,6317,D000077192
24069431,6317,D002294
23308079,3936,D007239
29979707,3162,C536778
29979707,4790,C536778
29979707,3162,D007674
27596437,406938,D007249
27596437,406947,D007249
30062756,29126,D009369
26410082,673,D009362
26410082,673,D009369
26410082,238,D009362
26410082,238,D009369
26410082,2064,D009362
26410082,2064,D009369
28813453,3630,D017180
32211513,10273,D001259
22421041,94,D007153
29740160,10113,D007938
29740160,7852,D000860
30949053,5468,D003920
30949053,9370,D009765
32327200,1636,C000657245
32327200,59272,C000657245
32131898,836,D000544
32131898,836,D009410
31412075,2147,D009369
31412075,2147,D005198
27785854,3267210,D006130
27785854,3267208,D064420
27785854,3267210,D064420
27506764,735275,D009136
27506764,1756,D009136
30365064,3985,D009845
30365064,55124,D009845
31293647,1956,D008175
31293647,1956,D002289
31293647,3845,D008175
31293647,3845,D002289
31293647,238,D008175
31293647,238,D002289
31293647,6794,D008175
31293647,6794,D002289
31293647,673,D008175
31293647,673,D002289
31293647,5290,D008175
31293647,5290,D002289
31293647,5979,D008175
31293647,5979,D002289
31293647,6098,D008175
31293647,6098,D002289
31293647,8852,D002289
31293647,574,D002289
31293647,29126,D002289
31293647,302,D002289
25491605,5578,D010049
25491605,5578,D007247
32205092,3717,D003643
32335068,183,C000657245
32335068,183,D012128
32335068,183,D012772
29809055,4282,D007249
25940564,7276,D003643
25940564,7276,D064420
32333644,3815,C000657245
30709862,3164,D009369
30709862,2064,D009369
30796730,100532204,D044342
30796730,100532204,D006331
30796730,100532204,D011014
30796730,100532204,D007409
30796730,100532204,D004342
30796730,100532204,D020345
30796730,100532204,D003141
23736079,2597,D000860
20633576,24,D049310
32335068,285,D007239
28689374,9356,D064420
28689374,9376,D064420
28689374,5452,D007674
28689374,9356,D007674
28689374,9376,D007674
32335068,285,C000657245
32335068,285,D012772
28291107,9214,C536528
28291107,51316,C536528
32335068,183,D012769
32335068,285,D012769
29809055,4282,D007239
14710238,2315,D008545
26951071,26160,D009362
26951071,26160,D018253
26951071,26160,D009369
26951071,26160,D000230
26951071,3855,D000230
26951071,54474,D000230
26951071,1045,D000230
26951071,999,D000230
26951071,6935,D000230
26412311,7295,D007674
26412311,4282,D007674
31293647,100124700,D001523
27222925,5354,D003711
27222925,5354,D020371
27222925,5354,D009461
22178269,7422,D006526
22178269,7040,D006526
22178269,975,OMIM:617394
22178269,975,D000860
22547706,834,D007877
22547706,58484,D007877
16333304,3621,D001943
16333304,118471,D001943
16333304,308,D001943
29740160,8600,D007938
22547706,834,D007153
22547706,58484,D007153
25946018,7099,D007239
25946018,7099,D002006
29596489,207,D014842
29596489,6198,D014842
29596489,7476,D014842
22337246,4513,D007592
22337246,4513,D006973
22337246,4513,D000437
22337246,4513,D003920
22337246,4513,D050171
20633576,215,D003550
20633576,215,D000326
20633576,215,C537345
20633576,64240,D008107
20633576,64240,D003550
20633576,64240,D000326
20633576,64240,C537345
20633576,8647,D003550
20633576,8647,D000326
20633576,8647,C537345
20633576,8647,D008107
20633576,1080,D003550
20633576,1080,D000326
20633576,1080,C537345
20633576,1080,D008107
20633576,10058,D030342
23336013,3630,D009765
