pmid	geneId	diseaseId	g_name	d_name	is_befree	is_dtminer	is_ft1	hit_ft1	hit_abs	1st_label	2nd_label	is_ner_error	is_complex	have_s	target_sentences	in abs	in_intro	in_method	in_result	in_diss	in_conclusion	Have -	S no strong	comment	is_target_knowledge
10579720	109676	D001145	Ankyrin-B | ankyrin-B | ANK2	cardiac arrhythmia	1	1	1.0	10			1.0				Another candidate disease involving ankyrin-B is long QT interval type 4, an autosomal dominant cardiac arrhythmia associated with sudden death, that maps to the same chromosomal region of 4q25-27 as the ANK2 gene encoding ankyrin-B					1.0					0.0
10579720	109676	D003645	Ankyrin-B | ankyrin-B | ANK2	sudden death	1	1	1.0	9			1.0				Another candidate disease involving ankyrin-B is long QT interval type 4, an autosomal dominant cardiac arrhythmia associated with sudden death, that maps to the same chromosomal region of 4q25-27 as the ANK2 gene encoding ankyrin-B					1.0					
10579720	109676	D007635	Ankyrin-B | ankyrin-B | ANK2	dendritic spines	0	0	1.0	7			0.0	Dk			Ankyrin-B (-/-) mice display abnormal posture with kyphosis and winged scapulae (Fig. 1 A).				1.0						
10579720	109676	D007738	Ankyrin-B | ankyrin-B | ANK2	kyphosis	1	1	1.0	7			1.0														
10579720	109676	D008228	Ankyrin-B | ankyrin-B | ANK2	longitudinal sarcoplasmic reticulum	0	0	1.0	7	1.0	0.0	0.0														
10579720	109676	D008305	Ankyrin-B | ankyrin-B | ANK2	malignant hyperthermia	0	0	1.0	7			0.0	Dk													
10579720	109676	D009135	Ankyrin-B | ankyrin-B | ANK2	myopathy	1	1	1.0	4			1.0				support the conclusion that ankyrin-B (-/-) mice suffer from a neonatal myopathy 	1.0			1.0	1.0					
10579720	109676	D009136	Ankyrin-B | ankyrin-B | ANK2	muscular dystrophy	0	0	1.0	7			0.0		n												
10579720	109676	D009140	Ankyrin-B | ankyrin-B | ANK2	musculoskeletal defects	1	1	1.0	7			1.0				mice exhibit musculoskeletal defects		1.0			1.0					
10579720	109676	D009224	Ankyrin-B | ankyrin-B | ANK2	congenital myopathies	0	0	1.0	7			0.0		n												
