pmid	geneId	diseaseId	gene_name	disease_name	label	pred	prob	is_confilct	r1_label	comment	sure	Ann error (GD/ikrm)	Complex(m, M, L, n,  S, C)	Have -	Have +	S no strong	In which snt (0, e, 1, m, bg|d)	snt
1363780	1287	D009394	COL4A5	Alport syndrome	1	1	0.9766972065	0										
1678058	268	D000544	Mis	Alzheimer's disease	0	1	0.9349291921	1	0	only	1	Gi					0	Mis-sense mutation Val----Ile in exon 17 of amyloid precursor protein gene in Japanese familial Alzheimer's disease.
1678058	351	D000544	amyloid precursor protein	Alzheimer's disease	1	1	0.9781524539	0										
1901333	3458	C536141	interferon-gamma	VL	0	0	0.01452028006	0	0.5			Dk	n				m	Leishmanial infection of human monocyte-derived macrophages enhanced the basal TNF alpha production by these cells, and this effect was further potentiated by treatment with recombinant interferon-gamma.
1901333	3458	D007239	interferon-gamma	Leishmanial infection | cryptic leishmanial infection	0	0	0.004595771898	0										
1901333	3458	D007896	interferon-gamma	tegumentary leishmaniasis	0	0	0.01041003317	0										
1901333	3458	D007898	interferon-gamma	visceral leishmaniasis	1	0	0.01905885898	1	0.5			Dr	n				m	Leishmanial infection of human monocyte-derived macrophages enhanced the basal TNF alpha production by these cells, and this effect was further potentiated by treatment with recombinant interferon-gamma.
1901333	3458	D010272	interferon-gamma	parasitism	0	0	0.004849686287	0										
1901333	7124	C536141	TNF alpha | Tumor necrosis factor (cachectin) | tumor necrosis factor-alpha	VL	0	1	0.9903724194	1	1			Dk					e	Thus, serum TNF alpha levels in VL patients are a good parameter to monitor in determining host response to therapy.
1901333	7124	D007239	TNF alpha | Tumor necrosis factor (cachectin) | tumor necrosis factor-alpha	Leishmanial infection | cryptic leishmanial infection	0	0	0.03368373588	0										
1901333	7124	D007896	TNF alpha | Tumor necrosis factor (cachectin) | tumor necrosis factor-alpha	tegumentary leishmaniasis	0	1	0.8861432672	1	0					1			m	Serum TNF alpha levels were also not elevated in 15 normal volunteers (11.3 +/- 15.6 pg/ml) and in 10 patients with tegumentary leishmaniasis (19.1 +/- 10.8 pg/ml).
1901333	7124	D007898	TNF alpha | Tumor necrosis factor (cachectin) | tumor necrosis factor-alpha	visceral leishmaniasis	1	1	0.9901365042	0										
1901333	7124	D010272	TNF alpha | Tumor necrosis factor (cachectin) | tumor necrosis factor-alpha	parasitism	0	0	0.03277185559	0										
2880401	3630	D003924	insulin	Non-insulin-dependent diabetes mellitus | non-insulin-dependent diabetes mellitus	1	1	0.9775436521	0										
3170557	1277	D010013	COL1A1	osteogenesis imperfecta	1	1	0.9385305047	0										
6636041	462	D002543	AT-III | antithrombin III	cerebral hemorrhage	1	0	0.1121074557	1	1				n		1	1	m	AT-III levels assayed by both biological and immunological methods showed a gradual decrease with increasing age, and levels in patients with cerebral thrombosis were lower than those in patients with cerebral hemorrhage.
6636041	462	D002561	AT-III | antithrombin III	cerebrovascular diseases	0	1	0.9665845037	1	0				n				0	Changes of the levels of antithrombin III in patients with cerebrovascular diseases.
6636041	462	D013927	AT-III | antithrombin III	thrombosis	0	1	0.968023181	1	0			Di						
6636041	462	D020767	AT-III | antithrombin III	cerebral thrombosis	1	1	0.7446787953	0	1			Dk	n		1	1	m	AT-III levels assayed by both biological and immunological methods showed a gradual decrease with increasing age, and levels in patients with cerebral thrombosis were lower than those in patients with cerebral hemorrhage.
7543567	1080	D000471	CFTR | cystic fibrosis transmembrane regulator	metabolic alkalosis	0	0	0.03174371272	0										
7543567	1080	D003550	CFTR | cystic fibrosis transmembrane regulator	cystic fibrosis	1	0	0.1254266053	1	1			Dk	M				e	These data suggest that the T3381 mutation is associated with a specific mild CF phenotype.
7543567	1080	D003681	CFTR | cystic fibrosis transmembrane regulator	hypotonic dehydration	0	0	0.03874193877	0										
7543567	1080	D007008	CFTR | cystic fibrosis transmembrane regulator	hypochloremia, hypokalemia	0	0	0.017840866	0										
7543567	1080	D007010	CFTR | cystic fibrosis transmembrane regulator	hyponatremia	0	1	0.5353559256	1	0									
7543567	1080	D008171	CFTR | cystic fibrosis transmembrane regulator	pulmonary	0	0	0.007397480309	0										
7543567	1080	D010195	CFTR | cystic fibrosis transmembrane regulator	pancreatic involvement	0	0	0.00853267312	0										
7581380	1180	C536106	CLCN1	muscle hypertrophy	0	0	0.004762618802	0										
7581380	1180	C536245	CLCN1	non-dystrophic myotonias	0	0	0.3617379069	0										
7581380	1180	D009222	CLCN1	myotonia	0	0	0.005011548754	0										
7581380	1180	D009224	CLCN1	Dominant myotonia congenita | Myotonia levior | Thomsen's disease | dominant myotonias | myotonia levior | recessive myotonia	1	1	0.9935902357	0										
7581380	6329	C536106	SCN4A	muscle hypertrophy	0	0	0.002973208437	0										
7581380	6329	C536245	SCN4A	non-dystrophic myotonias	0	0	0.03695964068	0										
7581380	6329	D009222	SCN4A	myotonia	0	0	0.003119661473	0										
7581380	6329	D009224	SCN4A	Dominant myotonia congenita | Myotonia levior | Thomsen's disease | dominant myotonias | myotonia levior | recessive myotonia	0	0	0.03113731556	0										
7698505	3630	D003924	Proinsulin | insulin | proinsulin	non-insulin-dependent diabetes mellitus	0	0	0.00409263093	0										
7698505	5122	D003924	prohormone convertase 3	non-insulin-dependent diabetes mellitus	0	0	0.005260044243	0										
7698505	5126	D003924	PC2 | PCSK2 | prohormone convertase 2	non-insulin-dependent diabetes mellitus	1	1	0.5849534273	0										
7789624	3630	D003922	IDDM2 | Insulin | insulin	IDDM | insulin-dependent diabetes mellitus	1	1	0.9928879142	0										
7937790	3558	D007153	IL-2	immunodeficiency | immunodeficiency disease | partial immunodeficiency	0	0	0.0132806208	0										
7937790	3558	D053632	IL-2	SCIDX1 syndrome	0	0	0.003205804853	0										
7937790	3559	D007153	IL-2R | interleukin 2 receptor	immunodeficiency | immunodeficiency disease | partial immunodeficiency	0	1	0.9438273311	1	0			Gi						
7937790	3559	D053632	IL-2R | interleukin 2 receptor	SCIDX1 syndrome	0	0	0.008131101727	0										
